Boroughs;Year;deaths
City of London;2011;-
Barking and Dagenham;2011;1218
Barnet;2011;2305
Bexley;2011;1847
Brent;2011;1471
Bromley;2011;2530
Camden;2011;1103
Croydon;2011;2365
Ealing;2011;1866
Enfield;2011;1846
Greenwich;2011;1543
Hackney;2011;1042
Hammersmith and Fulham;2011;937
Haringey;2011;1107
Harrow;2011;1414
Havering;2011;2105
Hillingdon;2011;1780
Hounslow;2011;1403
Islington;2011;1042
Kensington and Chelsea;2011;814
Kingston upon Thames;2011;1029
Lambeth;2011;1355
Lewisham;2011;1607
Merton;2011;1171
Newham;2011;1231
Redbridge;2011;1733
Richmond upon Thames;2011;1153
Southwark;2011;1340
Sutton;2011;1371
Tower Hamlets;2011;1013
Waltham Forest;2011;1340
Wandsworth;2011;1521
Westminster;2011;1083
City of London;2012;-
Barking and Dagenham;2012;1266
Barnet;2012;2318
Bexley;2012;1881
Brent;2012;1632
Bromley;2012;2586
Camden;2012;1088
Croydon;2012;2445
Ealing;2012;1887
Enfield;2012;1957
Greenwich;2012;1580
Hackney;2012;1108
Hammersmith and Fulham;2012;855
Haringey;2012;1145
Harrow;2012;1460
Havering;2012;2241
Hillingdon;2012;1926
Hounslow;2012;1427
Islington;2012;1030
Kensington and Chelsea;2012;834
Kingston upon Thames;2012;1020
Lambeth;2012;1380
Lewisham;2012;1500
Merton;2012;1227
Newham;2012;1302
Redbridge;2012;1722
Richmond upon Thames;2012;1191
Southwark;2012;1277
Sutton;2012;1422
Tower Hamlets;2012;1057
Waltham Forest;2012;1451
Wandsworth;2012;1547
Westminster;2012;1136
City of London;2013;-
Barking and Dagenham;2013;1209
Barnet;2013;2378
Bexley;2013;1919
Brent;2013;1633
Bromley;2013;2502
Camden;2013;1116
Croydon;2013;2287
Ealing;2013;1875
Enfield;2013;2021
Greenwich;2013;1535
Hackney;2013;1054
Hammersmith and Fulham;2013;887
Haringey;2013;1085
Harrow;2013;1430
Havering;2013;2268
Hillingdon;2013;1799
Hounslow;2013;1470
Islington;2013;1059
Kensington and Chelsea;2013;763
Kingston upon Thames;2013;1122
Lambeth;2013;1384
Lewisham;2013;1494
Merton;2013;1244
Newham;2013;1282
Redbridge;2013;1809
Richmond upon Thames;2013;1226
Southwark;2013;1305
Sutton;2013;1443
Tower Hamlets;2013;993
Waltham Forest;2013;1393
Wandsworth;2013;1533
Westminster;2013;1062
