Boroughs;Year;NiNo registration
City of London;2011;801
Barking and Dagenham;2011;4696
Barnet;2011;8842
Bexley;2011;1532
Brent;2011;15164
Bromley;2011;1816
Camden;2011;8516
Croydon;2011;6017
Ealing;2011;12348
Enfield;2011;5191
Greenwich;2011;6343
Hackney;2011;7616
Hammersmith and Fulham;2011;8394
Haringey;2011;11544
Harrow;2011;5332
Havering;2011;1207
Hillingdon;2011;5278
Hounslow;2011;9140
Islington;2011;7957
Kensington and Chelsea;2011;6648
Kingston upon Thames;2011;2393
Lambeth;2011;11096
Lewisham;2011;7107
Merton;2011;5281
Newham;2011;20495
Redbridge;2011;7752
Richmond upon Thames;2011;2102
Southwark;2011;11305
Sutton;2011;1540
Tower Hamlets;2011;14205
Waltham Forest;2011;11591
Wandsworth;2011;9423
Westminster;2011;11189
City of London;2012;705
Barking and Dagenham;2012;3513
Barnet;2012;8302
Bexley;2012;1221
Brent;2012;14492
Bromley;2012;1687
Camden;2012;8585
Croydon;2012;4938
Ealing;2012;10602
Enfield;2012;4745
Greenwich;2012;4971
Hackney;2012;7552
Hammersmith and Fulham;2012;8194
Haringey;2012;11853
Harrow;2012;4120
Havering;2012;1066
Hillingdon;2012;4120
Hounslow;2012;7283
Islington;2012;7907
Kensington and Chelsea;2012;6440
Kingston upon Thames;2012;2139
Lambeth;2012;10617
Lewisham;2012;6213
Merton;2012;4519
Newham;2012;16155
Redbridge;2012;5415
Richmond upon Thames;2012;1928
Southwark;2012;10831
Sutton;2012;1281
Tower Hamlets;2012;14815
Waltham Forest;2012;10546
Wandsworth;2012;8294
Westminster;2012;10760
City of London;2013;712
Barking and Dagenham;2013;4405
Barnet;2013;9406
Bexley;2013;1401
Brent;2013;16696
Bromley;2013;1902
Camden;2013;8715
Croydon;2013;5776
Ealing;2013;11289
Enfield;2013;5665
Greenwich;2013;5149
Hackney;2013;7615
Hammersmith and Fulham;2013;8277
Haringey;2013;12691
Harrow;2013;5713
Havering;2013;1338
Hillingdon;2013;4598
Hounslow;2013;7995
Islington;2013;7896
Kensington and Chelsea;2013;6092
Kingston upon Thames;2013;2395
Lambeth;2013;10676
Lewisham;2013;6576
Merton;2013;5131
Newham;2013;17095
Redbridge;2013;6374
Richmond upon Thames;2013;2079
Southwark;2013;10683
Sutton;2013;1409
Tower Hamlets;2013;15224
Waltham Forest;2013;11533
Wandsworth;2013;8650
Westminster;2013;10905
