Boroughs;Year;DWP working age client group;DWP working age client rate;Incapacity Benefit Claimants;Income Support Claimants;Income Support Claimant Rate;Employment and support allowance claimants;Housing Benefit Numbers;Housing Benefit Rates;Total JSA Claimants;Male JSA Claimants;Female JSA Claimants,,,
City of London;2011;360;6,2;120;90;1,565762004;40;1059;15,74019025;120;80;30
Barking and Dagenham;2011;23560;19,8;6080;8750;7,342698421;2480;21881;16,42532748;6810;4210;2600
Barnet;2011;25730;10,9;8000;9080;3,857395324;3000;27668;10,08588385;6550;3910;2640
Bexley;2011;18020;12,2;4970;5590;3,785108746;2130;14031;7,857290856;4330;2700;1640
Brent;2011;30620;14,1;9180;10620;4,905583681;3430;35896;14,84581789;9380;5910;3470
Bromley;2011;21530;10,9;6260;7050;3,571464756;2260;18703;7,731835169;5500;3430;2070
Camden;2011;22570;14,1;8780;9560;5,956831663;2450;28317;15,6374942;5470;3340;2130
Croydon;2011;34210;14,2;9240;12130;5,036308755;3550;34342;12,46085799;9770;6100;3670
Ealing;2011;30520;13,1;9650;10620;4,544287548;3390;30986;11,80297646;8610;5430;3180
Enfield;2011;33350;16,3;9160;12810;6,263813641;3440;32269;13,7286268;9860;5800;4060
Greenwich;2011;27870;16;8260;10600;6,102616065;3260;27703;14,27805695;7300;4480;2810,
Hackney;2011;32720;18,3;9660;12590;7,050495887;3660;41407;21,71156811;10660;6530;4130
Hammersmith and Fulham;2011;18140;13,3;6200;6950;5,099981655;2000;21860;14,58480671;5220;3240;1990
Haringey;2011;30570;16,9;9080;11360;6,271530783;3240;36273;18,3221029;10300;6460;3840
Harrow;2011;16180;10,2;5060;5170;3,263106073;1920;15865;8,541647598;3840;2340;1500
Havering;2011;18880;12,5;5520;5600;3,712567705;2020;13887;7,427911231;4980;3040;1940
Hillingdon;2011;20880;11,4;5970;7210;3,943510983;2820;19800;9,381396407;4640;2810;1830
Hounslow;2011;20930;11,9;6660;7400;4,199296334;2520;20991;10,63923608;4890;3000;1900
Islington;2011;26710;17,2;9600;11270;7,252158917;3030;31507;18,53723686;6960;4220;2740
Kensington and Chelsea;2011;12740;11,1;4920;5140;4,490612523;1450;17829;13,555907;3360;1960;1400
Kingston upon Thames;2011;8360;7,6;2640;2700;2,465168088;1070;9021;7,127056109;1820;1130;690
Lambeth;2011;34700;15,3;10070;13090;5,78149568;3480;40510;16,59878551;11600;7130;4470
Lewisham;2011;32280;16,7;9050;12250;6,3331386;3670;35440;16,6157972;9630;5980;3650
Merton;2011;13250;9,6;3800;4340;3,137765246;1420;13083;8,327763668;3650;2270;1380
Newham;2011;34550;15,7;9280;11950;5,441439636;3700;35306;15,19550668;11070;6960;4110
Redbridge;2011;23020;12,5;6540;7380;4,002451366;2410;18679;8,876037692;6630;3980;2660
Richmond upon Thames;2011;8760;7;3010;2820;2,257462836;1100;9467;6,448866152;1870;1140;730,
Southwark;2011;33450;15,7;10240;12940;6,077200167;3300;38584;16,79917101;10490;6530;3960
Sutton;2011;13380;10,7;3920;4310;3,436809747;1550;12538;8,477234926;3250;1970;1270
Tower Hamlets;2011;31540;16,6;8800;11600;6,104042349;3440;36172;18,03037629;10270;6730;3540
Waltham Forest;2011;26990;15,1;7260;9090;5,090070163;2910;27292;13,77535054;8910;5530;3370
Wandsworth;2011;22320;9,7;7160;8280;3,609667632;2300;27035;10,73341353;6200;3840;2360
Westminster;2011;21740;13,4;8660;9320;5,746382307;2540;27634;15,05857991;5170;3170;1990
City of London;2012;354400;15;111620;136390;5,764418336;38300;418933;16,21733465;106520;66170;40340,
Barking and Dagenham;2012;416030;12,6;121180;143270;4,343688312;46680;404102;10,62031421;112590;69180;43410
Barnet;2012;770430;13,6;232820;279660;4,937137385;84960;823038;12,88365656;219110;135370;83740
Bexley;2012;4777970;13,9;1586260;1437510;4,185211026;549220;4159780;9,959628331;1197090;801890;395200
Brent;2012;5693650;14,3;1936850;1703140;4,287896362;661770;4879182;10,06939035;1403910;945950;457960
Bromley;2012;340;5,8;90;70;1,217814892;50;1058;15,53369549;120;90;40
Camden;2012;23820;19,8;4700;7760;6,511924542;3970;23051;17,08582568;7060;4330;2740
Croydon;2012;25930;10,9;6130;7550;3,207415715;5150;28750;10,31778787;6600;3970;2630
Ealing;2012;18150;12,3;3680;4900;3,317894965;3480;14780;8,224132654;4380;2660;1720
Enfield;2012;31130;14,4;6710;8710;4,02331769;6000;37380;15,38322249;9840;6240;3590
Greenwich;2012;21860;11;4710;6070;3,075005826;3840;19319;7,903338638;5830;3660;2170,
Hackney;2012;22140;13,6;6740;7780;4,847714471;4480;28212;15,31429812;5210;3160;2050
Hammersmith and Fulham;2012;35080;14,5;7020;10330;4,288958734;6050;35948;12,92363665;10420;6420;4000
Haringey;2012;30450;13,1;7320;8750;3,744116389;5800;32031;12,19880034;8580;5360;3220
Harrow;2012;33390;16,2;7110;10950;5,354313768;5850;33948;14,31402478;9820;5710;4110
Havering;2012;28300;16;6300;8980;5,1699521;5250;28525;14,43938243;7780;4790;3000,
Hillingdon;2012;32040;17,6;7720;10620;5,947280883;5860;41750;21,48528965;10010;6160;3850
Hounslow;2012;17380;13,1;4740;5550;4,072647221;3610;21648;14,72853449;4670;2820;1850
Islington;2012;30100;16,4;6930;9330;5,150825899;5610;37015;18,44203079;9890;6210;3680
Kensington and Chelsea;2012;16260;10,2;3780;4130;2,606697888;3170;16415;8,769680359;4080;2480;1600
Kingston upon Thames;2012;19060;12,6;4340;4990;3,308163008;3120;14408;7,650116546;5210;3140;2070
Lambeth;2012;21270;11,4;4630;6190;3,385621773;4300;20816;9,646415497;5040;3160;1880
Lewisham;2012;20940;11,8;5090;6280;3,563727159;4230;21911;10,96844276;4830;2980;1850
Merton;2012;26440;16,7;7310;9210;5,926564652;5500;31705;18,26125021;6700;4110;2590
Newham;2012;12080;10,9;3580;3890;3,398537493;2670;17774;13,77637229;3020;1790;1230
Redbridge;2012;8410;7,6;1890;2150;1,963004218;1890;9248;7,16960361;1860;1160;710
Richmond upon Thames;2012;34850;15,1;7610;10870;4,80098228;6140;41229;16,56854432;11760;7180;4590
Southwark;2012;32770;16,7;6870;10290;5,319836424;6110;36481;16,8122955;10160;6310;3850
Sutton;2012;13420;9,7;2700;3540;2,559375339;2640;13284;8,419691582;3770;2350;1420
Tower Hamlets;2012;34580;15,6;7410;10100;4,599041032;5790;37711;16,09373466;11220;6900;4320
Waltham Forest;2012;22780;12,3;5120;6190;3,357069642;3810;19487;9,162203969;6560;4010;2550
Wandsworth;2012;8670;7;2350;2350;1,88121903;1800;9649;6,550754942;1840;1100;740,
Westminster;2012;33690;15,6;7910;11030;5,180179122;5790;38935;16,69153141;10790;6700;4090
City of London;2013;13400;10,6;2870;3600;2,870653153;2610;13033;8,70770752;3310;2060;1240
Barking and Dagenham;2013;31690;16,3;6860;9780;5,146339153;5520;37027;18,03134192;10410;6660;3750
Barnet;2013;27530;15,3;5720;7830;4,384515883;4560;27744;13,89054388;9500;5860;3640
Bexley;2013;22160;9,7;5430;6810;2,968820842;4080;27411;10,90538008;6210;3800;2420
Brent;2013;21160;12,9;6500;7370;4,544081288;4650;28069;15,0685005;4810;2900;1920
Bromley;2013;351410;14,7;85700;112700;4,720658094;65860;426025;16,3098865;104980;64790;40230
Camden;2013;419850;12,7;92170;121250;3,656108128;77520;419727;10,92078943;116310;71440;44880
Croydon;2013;771260;13,5;177900;233940;4,129993277;143370;845740;13,10119431;221310;136230;85080
Ealing;2013;4824170;14,1;1162570;1199250;3,491533501;938680;4295673;10,2106732;1268790;846880;421910
Enfield;2013;5738660;14,5;1422250;1417000;3,567498353;1132730;5031738;10,31332327;1483810;996010;487810
Greenwich;2013;290;5,2;50;30;0,527983105;80;1052;15,42748204;100;50;50
Hackney;2013;22860;18,7;3030;5950;4,858292984;5680;23412;17,1206681;6670;3910;2770
Hammersmith and Fulham;2013;24630;10,2;3610;5160;2,144121533;7570;30129;10,66645425;6030;3590;2430
Haringey;2013;17650;11,9;2060;3720;2,498270686;4870;14972;8,236329629;4300;2490;1810
Harrow;2013;29780;13,7;3930;6050;2,77992207;8610;38054;15,55027052;9300;5800;3490
Havering;2013;20380;10,2;2620;4360;2,182214948;5860;19383;7,833097595;4800;2900;1910
Hillingdon;2013;21000;12,7;3810;5120;3,104817925;7270;27911;14,8990573;4570;2760;1800
Hounslow;2013;33130;13,6;3970;7580;3,111160364;9090;36478;12,9757687;9150;5440;3710
Islington;2013;29210;12,6;4050;5950;2,560064712;8680;32801;12,47290648;8350;5120;3220
Kensington and Chelsea;2013;31770;15,3;4190;7810;3,767305002;8700;34468;14,38564274;9200;5180;4020
Kingston upon Thames;2013;26820;15;3580;6520;3,646124595;7670;28767;14,36066654;7100;4240;2860,
Lambeth;2013;30610;16,5;4270;7200;3,881841071;9350;42177;21,2584614;9150;5450;3690
Lewisham;2013;16690;12,8;2600;3670;2,805638799;5460;21485;14,78084991;4640;2730;1920
Merton;2013;28380;15,2;3960;6410;3,434161604;8510;36824;18,01345237;8910;5400;3510
Newham;2013;15410;9,7;2320;2890;1,82522089;4570;17258;9,197889463;3480;2070;1410
Redbridge;2013;18370;12,1;2830;3960;2,615086938;4480;14786;7,783743946;4810;2860;1950
Richmond upon Thames;2013;20590;10,9;2900;4700;2,492059873;6090;21089;9,618217558;4620;2760;1870
Southwark;2013;20320;11,3;2840;4390;2,450228;6410;22107;10,94606438;4720;2850;1870
Sutton;2013;25490;15,7;3930;6310;3,898262153;8670;31499;17,76332856;6300;3830;2470
Tower Hamlets;2013;11460;10,5;1840;2380;2,173357198;4300;17596;13,71772483;2720;1600;1110
Waltham Forest;2013;8230;7,3;950;1480;1,311533519;2810;9421;7,186117468;1780;1040;740
Wandsworth;2013;32740;14;4130;7420;3,173706992;9080;41145;16,30964745;11060;6700;4360,
Westminster;2013;31070;15,6;4120;7520;3,767195343;8750;36728;16,65736924;9280;5630;3650
