Boroughs;Year;Median House Price (£);Number of properties sold;New homes (net additional dwellings);Average Band D Council Tax Charge (£);Tenure: Owned Outright (%);Tenure: Buying with mortgage (%);Tenure: Rented from Local Authority or Housing Association (%);Tenure: Rented from Private landlord (%),
City of London;2011;465000;256;20;939,18;-;-;-;-
Barking and Dagenham;2011;170000;1458;350;1326,22;18;25;35;23
Barnet;2011;323500;3887;2110;1423,02;29;30;17;24
Bexley;2011;215000;2540;200;1438,41;39;35;14;12
Brent;2011;300000;2188;560;1368,76;19;25;24;32
Bromley;2011;275000;4316;580;1301,13;32;39;13;16
Camden;2011;480000;2626;370;1331,59;20;16;37;27
Croydon;2011;220000;3479;710;1459,93;26;37;20;17
Ealing;2011;292950;2999;690;1369,75;23;32;22;23
Enfield;2011;240000;2709;300;1410,16;31;31;15;23
Greenwich;2011;249995;2560;1320;1290,86;18;27;32;23
Hackney;2011;310000;2208;1160;1308,27;11;20;45;24
Hammersmith and Fulham;2011;465000;2687;470;1121,6;21;20;33;27
Haringey;2011;302000;2255;1280;1494,14;21;29;27;23
Harrow;2011;294500;2133;470;1496,37;28;37;13;22
Havering;2011;220000;2579;40;1505;41;33;16;10,
Hillingdon;2011;248625;3298;990;1422,75;26;37;15;22
Hounslow;2011;250000;2279;580;1400,5;23;30;19;27
Islington;2011;399000;2553;1220;1271,69;13;21;41;25
Kensington and Chelsea;2011;790000;2457;100;1092,4;27;13;33;27
Kingston upon Thames;2011;299950;2230;220;1662,54;29;30;15;27
Lambeth;2011;310000;3580;850;1235,11;12;28;36;25
Lewisham;2011;239950;2853;1190;1351,93;16;31;29;24
Merton;2011;295000;2595;510;1416,39;24;37;13;26
Newham;2011;219000;1594;910;1255,45;12;20;29;39
Redbridge;2011;250000;2526;530;1405,35;29;34;12;25
Richmond upon Thames;2011;420000;3113;210;1597,21;33;32;10;25
Southwark;2011;320000;3173;1050;1221,96;11;20;45;24
Sutton;2011;232750;2434;590;1450,71;24;44;13;19
Tower Hamlets;2011;299999;3342;2880;1195,34;8;16;39;37
Waltham Forest;2011;230000;2305;500;1462,03;22;31;20;27
Wandsworth;2011;390000;5258;980;686,88;17;32;18;33
Westminster;2011;600000;3255;930;687,89;16;14;30;40
City of London;2012;360000;38097;13410;1116,96;15;22;34;29
Barking and Dagenham;2012;250000;51628;11460;1428,62;27;33;18;22
Barnet;2012;292000;89725;24870;1308,43;22;29;24;25
Bexley;2012;179995;625249;134900;1439,33;31;34;18;17
Brent;2012;175500;655490;n/a;-;32;34;18;16,
Bromley;2012;485000;195;40;935,93;-;-;-;-
Camden;2012;174995;1315;510;1323,12;18;28;35;19
Croydon;2012;330000;3969;1370;1419,92;29;29;14;28
Ealing;2012;210000;2813;420;1435,31;39;39;13;9
Enfield;2012;320000;2017;660;1365,66;19;26;23;31
Greenwich;2012;278000;4751;690;1298,03;34;41;12;13
Hackney;2012;500000;2362;560;1328,49;20;14;39;27
Hammersmith and Fulham;2012;230000;3557;890;1456,83;29;37;14;20
Haringey;2012;310000;3186;990;1366,65;23;30;16;30
Harrow;2012;247000;2749;550;1407,06;31;31;19;19
Havering;2012;245000;2769;110;1287,76;22;26;32;20
Hillingdon;2012;325000;2529;800;1305,17;15;22;41;22
Hounslow;2012;490000;2550;420;1088,06;22;21;33;24
Islington;2012;315000;2397;580;1491,04;23;24;29;24
Kensington and Chelsea;2012;300000;2220;720;1493,27;30;31;13;26
Kingston upon Thames;2012;220000;2772;240;1501,9;43;34;15;8
Lambeth;2012;250000;3199;1470;1419,65;32;31;16;22
Lewisham;2012;263000;2309;230;1397,4;25;33;18;24
Merton;2012;407275;2782;920;1268,59;15;17;43;26
Newham;2012;890000;2185;60;1089,3;26;14;29;31
Redbridge;2012;318000;2298;200;1659,44;28;31;13;28
Richmond upon Thames;2012;320000;3873;540;1232,01;11;25;37;27
Southwark;2012;248500;3233;1800;1348,83;18;33;29;20
Sutton;2012;290000;2719;410;1413,28;26;39;13;22
Tower Hamlets;2012;219000;1679;670;1252,35;12;18;35;35
Waltham Forest;2012;265000;2461;260;1402,25;29;38;10;23
Wandsworth;2012;430000;3209;490;1594,11;31;38;10;22
Westminster;2012;330000;3308;1250;1218,86;13;22;42;23
City of London;2013;240000;2523;230;1447,61;31;42;13;14
Barking and Dagenham;2013;305000;3496;960;1192,24;8;16;35;41
Barnet;2013;241000;2275;470;1458,93;19;36;18;27
Bexley;2013;417250;5198;960;683,72;19;33;20;28
Brent;2013;632450;3167;590;684,73;18;13;33;36
Bromley;2013;369950;38954;10150;1112,11;16;21;34;28
Camden;2013;262500;53111;10910;1425,44;28;34;16;21
Croydon;2013;300000;92065;21040;1304,36;24;29;24;24
Ealing;2013;183000;624223;124720;1444,13;32;33;17;17
Enfield;2013;180000;653980;n/a;-;32;33;18;17,
Greenwich;2013;615000;433;440;943,39;-;-;-;-
Hackney;2013;180995;1769;730;1319,4;18;29;33;20
Hammersmith and Fulham;2013;345000;4770;1110;1416,2;32;30;14;24
Haringey;2013;225000;3377;530;1431,59;39;35;15;11
Harrow;2013;345000;2470;730;1361,94;20;26;23;31
Havering;2013;295000;5494;150;1313,07;40;38;9;12
Hillingdon;2013;585000;2952;450;1324,77;20;15;38;27
Hounslow;2013;239950;4846;1300;1474,39;27;40;15;18
Islington;2013;326000;3837;770;1362,93;24;32;18;27
Kensington and Chelsea;2013;250000;3410;510;1403,34;31;30;19;20
Kingston upon Thames;2013;273000;3531;1110;1284,04;17;30;33;19
Lambeth;2013;375000;2731;1130;1301,45;15;20;44;21
Lewisham;2013;561220;3024;630;1060,9;20;22;32;26
Merton;2013;337000;2659;470;1487,32;19;26;28;27
Newham;2013;325000;2572;300;1513,28;33;30;10;27
Redbridge;2013;232000;3559;160;1498,18;37;36;18;10
Richmond upon Thames;2013;268000;3356;550;1415,93;28;34;17;21
Southwark;2013;280000;2858;690;1388,2;24;27;20;29
Sutton;2013;462000;3013;1240;1264,87;14;17;44;26
Tower Hamlets;2013;975000;2673;600;1085,58;22;11;33;33
Waltham Forest;2013;335000;2763;260;1682,65;30;37;12;21
Wandsworth;2013;350000;4939;1250;1228,29;13;25;30;32
Westminster;2013;260000;4211;710;1363,35;15;36;26;23
