Boroughs;Year;NEETS rates
City of London;2011;0,9
Barking and Dagenham;2011;6,6
Barnet;2011;4,1
Bexley;2011;3,4
Brent;2011;3,9
Bromley;2011;5,2
Camden;2011;7,2
Croydon;2011;6,1
Ealing;2011;3,2
Enfield;2011;4,2
Greenwich;2011;4,9
Hackney;2011;3,9
Hammersmith and Fulham;2011;4,6
Haringey;2011;4,3
Harrow;2011;2,5
Havering;2011;4,5
Hillingdon;2011;3,9
Hounslow;2011;4,4
Islington;2011;8,4
Kensington and Chelsea;2011;6,9
Kingston upon Thames;2011;3,3
Lambeth;2011;3,6
Lewisham;2011;5,1
Merton;2011;4,6
Newham;2011;4,6
Redbridge;2011;4
Richmond upon Thames;2011;5,2
Southwark;2011;4,4
Sutton;2011;4,2
Tower Hamlets;2011;5
Waltham Forest;2011;3,6
Wandsworth;2011;5,1
Westminster;2011;5,1
City of London;2012;0,3
Barking and Dagenham;2012;5,4
Barnet;2012;3,5
Bexley;2012;4
Brent;2012;2,4
Bromley;2012;4,1
Camden;2012;10,2
Croydon;2012;4,4
Ealing;2012;3,3
Enfield;2012;4,2
Greenwich;2012;6,9
Hackney;2012;7
Hammersmith and Fulham;2012;3,9
Haringey;2012;3,7
Harrow;2012;2
Havering;2012;4,7
Hillingdon;2012;3,6
Hounslow;2012;4,4
Islington;2012;8,8
Kensington and Chelsea;2012;8,6
Kingston upon Thames;2012;3,6
Lambeth;2012;7,5
Lewisham;2012;3
Merton;2012;4
Newham;2012;5,3
Redbridge;2012;3,6
Richmond upon Thames;2012;3,9
Southwark;2012;7,7
Sutton;2012;3,9
Tower Hamlets;2012;4,9
Waltham Forest;2012;3,7
Wandsworth;2012;7,1
Westminster;2012;7,5
City of London;2013;5,059021922
Barking and Dagenham;2013;5,754315737
Barnet;2013;2,30761513
Bexley;2013;4,230317274
Brent;2013;2,992021277
Bromley;2013;5,776107087
Camden;2013;4,363803399
Croydon;2013;3,021824287
Ealing;2013;3,288201161
Enfield;2013;4,167129681
Greenwich;2013;6,539113587
Hackney;2013;3,225945202
Hammersmith and Fulham;2013;3,169115529
Haringey;2013;3,449550326
Harrow;2013;1,848347489
Havering;2013;4,344015547
Hillingdon;2013;3,491543917
Hounslow;2013;4,063836092
Islington;2013;4,943279042
Kensington and Chelsea;2013;5,000833472
Kingston upon Thames;2013;4,095416008
Lambeth;2013;2,647306566
Lewisham;2013;3,535520937
Merton;2013;4,549794978
Newham;2013;3,963353342
Redbridge;2013;3,443109
Richmond upon Thames;2013;4,436325678
Southwark;2013;2,936225189
Sutton;2013;4,027032031
Tower Hamlets;2013;4,622891876
Waltham Forest;2013;3,303237172
Wandsworth;2013;3,57568534
Westminster;2013;3,929640719
