Boroughs;Year;Perc.resd.pop.born.abroad
City of London;2011;-
Barking and Dagenham;2011;33,3
Barnet;2011;35,2
Bexley;2011;14,2
Brent;2011;58,7
Bromley;2011;15,9
Camden;2011;37,2
Croydon;2011;27,1
Ealing;2011;41,4
Enfield;2011;34,9
Greenwich;2011;34
Hackney;2011;38,6
Hammersmith and Fulham;2011;40,3
Haringey;2011;43,7
Harrow;2011;45,4
Havering;2011;9,3
Hillingdon;2011;29,3
Hounslow;2011;40,2
Islington;2011;34,3
Kensington and Chelsea;2011;50,6
Kingston upon Thames;2011;29,6
Lambeth;2011;33,8
Lewisham;2011;31,6
Merton;2011;42,7
Newham;2011;52,8
Redbridge;2011;41,1
Richmond upon Thames;2011;23,7
Southwark;2011;41,5
Sutton;2011;20
Tower Hamlets;2011;44,3
Waltham Forest;2011;36,8
Wandsworth;2011;36,2
Westminster;2011;54,3
City of London;2012;-
Barking and Dagenham;2012;28,9
Barnet;2012;38
Bexley;2012;15,5
Brent;2012;56,2
Bromley;2012;16
Camden;2012;42,6
Croydon;2012;26,2
Ealing;2012;46,9
Enfield;2012;31,7
Greenwich;2012;35,3
Hackney;2012;37,8
Hammersmith and Fulham;2012;40,4
Haringey;2012;39,1
Harrow;2012;49,6
Havering;2012;10,1
Hillingdon;2012;30,5
Hounslow;2012;42,6
Islington;2012;34,4
Kensington and Chelsea;2012;50,6
Kingston upon Thames;2012;30,2
Lambeth;2012;36,7
Lewisham;2012;33,6
Merton;2012;42,3
Newham;2012;50,8
Redbridge;2012;36
Richmond upon Thames;2012;23,5
Southwark;2012;35,7
Sutton;2012;18,8
Tower Hamlets;2012;44,7
Waltham Forest;2012;37,2
Wandsworth;2012;32,1
Westminster;2012;51,1
City of London;2013;-
Barking and Dagenham;2013;35,8
Barnet;2013;35,7
Bexley;2013;16,2
Brent;2013;53,6
Bromley;2013;15,6
Camden;2013;43,4
Croydon;2013;32,4
Ealing;2013;46,5
Enfield;2013;32,3
Greenwich;2013;31,7
Hackney;2013;39,1
Hammersmith and Fulham;2013;41,8
Haringey;2013;36,2
Harrow;2013;49,8
Havering;2013;11,3
Hillingdon;2013;30,3
Hounslow;2013;46,6
Islington;2013;31,9
Kensington and Chelsea;2013;52
Kingston upon Thames;2013;28,5
Lambeth;2013;35,8
Lewisham;2013;30,3
Merton;2013;38,6
Newham;2013;51,3
Redbridge;2013;37,6
Richmond upon Thames;2013;22,9
Southwark;2013;36,3
Sutton;2013;21,1
Tower Hamlets;2013;42
Waltham Forest;2013;39,6
Wandsworth;2013;28
Westminster;2013;49,6
