Boroughs;Year;Population
City of London;2011;7412
Barking and Dagenham;2011;187029
Barnet;2011;357538
Bexley;2011;232774
Brent;2011;312245
Bromley;2011;310554
Camden;2011;220087
Croydon;2011;364815
Ealing;2011;339314
Enfield;2011;313935
Greenwich;2011;255483
Hackney;2011;247182
Hammersmith and Fulham;2011;182445
Haringey;2011;255540
Harrow;2011;240499
Havering;2011;237927
Hillingdon;2011;275499
Hounslow;2011;254927
Islington;2011;206285
Kensington and Chelsea;2011;158251
Kingston upon Thames;2011;160436
Lambeth;2011;304481
Lewisham;2011;276938
Merton;2011;200543
Newham;2011;310460
Redbridge;2011;281395
Richmond upon Thames;2011;187527
Southwark;2011;288717
Sutton;2011;191123
Tower Hamlets;2011;256012
Waltham Forest;2011;259742
Wandsworth;2011;307710
Westminster;2011;219582
City of London;2012;7604
Barking and Dagenham;2012;190560
Barnet;2012;363956
Bexley;2012;234271
Brent;2012;314660
Bromley;2012;314036
Camden;2012;224962
Croydon;2012;368886
Ealing;2012;340671
Enfield;2012;317287
Greenwich;2012;260068
Hackney;2012;252119
Hammersmith and Fulham;2012;179850
Haringey;2012;258912
Harrow;2012;242377
Havering;2012;239733
Hillingdon;2012;281756
Hounslow;2012;259052
Islington;2012;211047
Kensington and Chelsea;2012;155930
Kingston upon Thames;2012;163906
Lambeth;2012;310200
Lewisham;2012;281556
Merton;2012;202225
Newham;2012;314084
Redbridge;2012;284617
Richmond upon Thames;2012;189145
Southwark;2012;293530
Sutton;2012;193630
Tower Hamlets;2012;263003
Waltham Forest;2012;262566
Wandsworth;2012;308312
Westminster;2012;223858
City of London;2013;7648
Barking and Dagenham;2013;194352
Barnet;2013;369088
Bexley;2013;236687
Brent;2013;317264
Bromley;2013;317899
Camden;2013;229719
Croydon;2013;372752
Ealing;2013;342494
Enfield;2013;320524
Greenwich;2013;264008
Hackney;2013;257379
Hammersmith and Fulham;2013;178685
Haringey;2013;263386
Harrow;2013;243373
Havering;2013;242080
Hillingdon;2013;286808
Hounslow;2013;262407
Islington;2013;215671
Kensington and Chelsea;2013;155594
Kingston upon Thames;2013;166793
Lambeth;2013;314242
Lewisham;2013;286180
Merton;2013;203223
Newham;2013;318227
Redbridge;2013;288272
Richmond upon Thames;2013;191365
Southwark;2013;298465
Sutton;2013;195914
Tower Hamlets;2013;272890
Waltham Forest;2013;265797
Wandsworth;2013;310516
Westminster;2013;226841
